emissoes_ultimos_3_meses,emissoes_ultimo_mes,crescimento_emissoes,tickets_abertos_ultimos_3_meses,tickets_abertos_ultimo_mes,crescimento_tickets_abertos,atraso_fatura_ultimos_3_meses,atraso_fatura_ultimo_mes,mes,cancelamento
1115,403,1.08,6,2,1.00,1,0,8,0
9741,3269,1.01,2,0,0.00,1,0,1,0
4673,1603,1.03,13,5,1.00,0,0,10,0
4402,1498,1.02,14,4,0.80,0,0,8,0
6779,2292,1.01,4,2,1.00,0,0,5,1
2712,946,1.05,11,3,0.75,2,1,12,0
4501,869,0.58,43,19,1.27,1,1,6,1
2464,872,1.06,1,0,0.00,0,0,12,0
4930,1661,1.01,15,4,0.80,1,0,11,0
5574,1066,0.57,51,20,1.18,1,1,7,0
9561,1876,0.59,24,12,1.50,1,0,12,1
5652,1926,1.02,15,5,1.00,2,1,7,0
2100,720,1.03,9,2,0.67,1,1,9,0
486,175,1.08,12,2,0.50,1,0,12,1
7894,2645,1.00,0,0,0.00,0,0,12,0
1000,370,1.11,9,1,0.33,0,0,1,0
2452,839,1.03,10,2,0.50,2,0,6,0
4404,1496,1.02,9,1,0.33,1,0,8,0
7402,2514,1.02,10,3,0.75,0,0,1,1
7799,2641,1.02,1,0,0.00,1,1,7,0
6807,2292,1.01,5,2,1.00,0,0,8,1
6711,1329,0.59,47,22,1.38,1,0,6,1
9785,3310,1.01,15,3,0.60,1,0,8,0
1009,352,1.04,8,3,1.00,2,0,5,0
9717,3279,1.01,0,0,0.00,1,1,12,1
1583,575,1.09,3,1,1.00,0,0,9,0
5113,1741,1.02,4,2,1.00,1,0,2,0
2273,440,0.58,49,25,1.47,2,1,7,1
5056,1701,1.01,9,1,0.33,0,0,12,0
3148,1074,1.02,0,0,0.00,0,0,7,0
4991,1683,1.01,2,0,0.00,0,0,3,0
721,280,1.16,1,0,0.00,2,1,1,0
1616,279,0.52,31,14,1.27,0,0,7,1
955,352,1.10,8,1,0.33,0,0,10,0
5095,1729,1.02,2,0,0.00,1,0,6,0
3347,1139,1.02,0,0,0.00,0,0,4,1
4920,958,0.58,27,11,1.22,3,1,6,1
1287,227,0.53,48,23,1.44,3,1,6,1
5444,1847,1.02,6,2,1.00,2,1,12,0
3880,760,0.59,42,19,1.36,2,1,6,1
1920,663,1.04,3,1,1.00,0,0,3,0
1772,611,1.03,10,2,0.50,0,0,1,0
3390,656,0.58,57,27,1.42,2,1,7,1
3700,1244,1.01,9,1,0.33,0,0,6,0
7220,2443,1.01,15,4,0.80,0,0,12,0
2131,389,0.55,23,13,1.62,1,0,11,1
6052,1201,0.60,39,18,1.38,1,1,6,1
6531,2220,1.02,3,1,1.00,2,0,5,0
7640,1482,0.58,28,12,1.20,1,1,6,1
9357,3132,1.00,10,2,0.50,0,0,3,0
2465,871,1.06,14,3,0.60,2,0,10,0
8362,2805,1.01,6,2,1.00,0,0,3,0
2353,456,0.58,35,20,1.67,3,1,6,1
4651,1569,1.01,8,2,0.67,0,0,12,1
2702,925,1.03,15,5,1.00,0,0,6,0
4480,1507,1.01,7,2,0.67,0,0,8,0
6827,2313,1.02,14,3,0.60,0,0,6,1
8781,2977,1.02,2,0,0.00,0,0,12,1
1700,583,1.03,13,4,0.80,0,0,1,0
1900,683,1.08,12,2,0.50,0,0,7,0
1950,698,1.07,6,2,1.00,1,0,1,0
7002,1361,0.58,42,17,1.21,1,1,7,1
9480,3205,1.01,5,2,1.00,0,0,6,0
8917,3021,1.02,4,2,1.00,2,1,12,1
8847,2989,1.01,0,0,0.00,0,0,7,0
1058,382,1.08,14,5,1.00,2,0,4,0
8595,2898,1.01,7,2,0.67,0,0,11,0
9216,3111,1.01,1,0,0.00,1,1,5,1
1116,407,1.09,12,2,0.50,0,0,6,1
5119,1737,1.02,1,0,0.00,1,1,7,0
2554,872,1.02,14,5,1.00,0,0,11,0
4832,1628,1.01,9,3,1.00,0,0,11,1
4733,1611,1.02,10,3,0.75,0,0,12,0
2330,813,1.05,8,1,0.33,2,0,6,0
3557,1208,1.02,7,2,0.67,0,0,2,0
6536,2190,1.01,10,4,1.00,0,0,7,0
2749,930,1.01,2,0,0.00,0,0,1,0
7956,2679,1.01,9,2,0.67,0,0,12,0
2674,497,0.56,34,19,1.58,2,1,7,1
1861,339,0.55,14,10,2.00,0,0,10,1
9120,3074,1.01,11,2,0.50,0,0,11,1
6629,1314,0.59,30,11,1.10,3,0,10,1
5033,1716,1.02,0,0,0.00,0,0,3,1
8214,2755,1.01,4,2,1.00,0,0,4,0
8204,2765,1.01,13,5,1.00,1,0,2,0
5553,1889,1.02,14,5,1.00,0,0,11,1
1289,468,1.09,2,0,0.00,0,0,11,0
7310,2453,1.01,0,0,0.00,2,0,1,0
9673,3248,1.01,14,3,0.60,1,0,8,0
838,325,1.16,2,0,0.00,0,0,6,0
1833,326,0.53,59,27,1.35,1,1,6,1
6615,2230,1.01,7,1,0.33,2,1,1,0
3803,717,0.57,57,20,1.05,3,1,7,1
4456,885,0.60,36,19,1.58,1,0,7,0
7858,2664,1.02,3,1,1.00,1,0,6,0
9471,3179,1.01,9,1,0.33,0,0,12,0
8819,1724,0.59,53,26,1.44,2,1,7,1
1198,218,0.55,36,18,1.50,0,0,6,1
8699,2921,1.01,8,1,0.33,0,0,7,0
4926,966,0.59,45,18,1.20,0,0,6,1
5244,1780,1.02,0,0,0.00,1,0,4,1
387,178,1.38,13,3,0.60,0,0,4,0
2823,963,1.02,10,3,0.75,0,0,12,0
7529,2541,1.01,4,2,1.00,1,0,9,0
9978,3342,1.00,13,3,0.60,0,0,12,0
2312,791,1.03,0,0,0.00,0,0,3,0
3899,1348,1.04,4,2,1.00,0,0,9,0
1439,511,1.06,12,3,0.75,0,0,12,0
3501,678,0.58,44,18,1.20,2,1,7,0
3324,617,0.56,29,19,1.90,3,0,6,1
1869,663,1.06,10,4,1.00,2,1,9,0
8050,2724,1.01,10,4,1.00,1,0,7,0
343,129,1.12,11,3,0.75,0,0,6,0
847,314,1.11,0,0,0.00,1,0,12,0
981,348,1.06,10,4,1.00,0,0,4,0
7172,1422,0.59,49,25,1.47,2,1,6,1
6193,1192,0.58,36,22,1.83,1,1,6,1
6442,2192,1.02,7,1,0.33,0,0,8,0
2854,966,1.01,13,5,1.00,0,0,8,0
7425,2503,1.01,10,3,0.75,0,0,1,0
2229,757,1.02,6,2,1.00,2,1,4,1
2434,857,1.06,6,2,1.00,0,0,4,0
353,38,0.32,21,11,1.57,2,1,4,1
1447,531,1.10,13,5,1.00,0,0,6,1
9680,3237,1.00,8,2,0.67,0,0,10,0
7527,1483,0.59,14,7,1.40,2,1,3,0
5298,1814,1.03,15,5,1.00,0,0,7,1
3704,1277,1.03,6,2,1.00,1,0,7,0
9619,3253,1.01,5,2,1.00,2,0,12,0
2411,471,0.59,38,14,1.08,2,1,6,1
2969,551,0.56,58,27,1.35,0,0,7,1
2261,786,1.04,7,3,1.00,0,0,6,0
504,189,1.12,2,0,0.00,1,0,2,0
6089,2048,1.01,9,1,0.33,0,0,7,1
1044,192,0.55,19,15,2.14,1,0,12,0
4355,1488,1.02,1,0,0.00,0,0,6,0
4793,1644,1.03,0,0,0.00,0,0,7,1
7117,2394,1.01,5,2,1.00,1,0,9,1
1470,509,1.04,15,4,0.80,0,0,2,0
8049,2707,1.01,12,2,0.50,2,0,9,0
8916,3015,1.01,4,2,1.00,0,0,6,1
7302,2452,1.01,8,3,1.00,0,0,2,0
581,223,1.15,13,5,1.00,0,0,1,0
9766,1919,0.59,21,14,2.00,1,1,8,0
3268,1108,1.02,12,3,0.75,0,0,10,0
1429,516,1.08,4,2,1.00,0,0,3,0
8395,2846,1.02,4,2,1.00,0,0,6,0
3132,1063,1.02,2,0,0.00,0,0,3,0
4339,1476,1.02,8,1,0.33,1,0,12,0
4770,949,0.60,16,14,2.33,1,0,5,1
5978,2024,1.02,11,2,0.50,0,0,7,0
8238,2771,1.01,12,3,0.75,2,1,5,0
9624,3258,1.02,8,3,1.00,2,0,10,0
8816,1715,0.58,21,8,1.14,2,1,1,1
6520,2217,1.02,3,1,1.00,0,0,10,1
5453,1843,1.01,9,1,0.33,1,0,7,0
3062,1064,1.04,14,3,0.60,0,0,5,1
5433,1830,1.01,1,0,0.00,0,0,1,0
9978,3364,1.01,7,1,0.33,0,0,10,0
6179,2103,1.02,6,2,1.00,1,0,12,1
8044,1590,0.59,32,17,1.55,2,1,6,1
2006,714,1.07,5,2,1.00,0,0,4,0
9355,1838,0.59,56,26,1.37,3,0,7,1
5213,1781,1.02,1,0,0.00,1,0,10,0
9538,1868,0.59,13,7,1.40,3,1,8,1
1444,496,1.03,11,4,1.00,2,1,4,0
9134,1779,0.58,46,16,1.00,2,0,7,1
2849,974,1.03,5,2,1.00,1,0,11,0
5685,1920,1.01,4,2,1.00,0,0,2,0
1257,459,1.10,1,0,0.00,0,0,6,0
917,319,1.04,5,2,1.00,1,0,1,0
1270,204,0.48,20,14,2.00,3,0,9,1
6406,2186,1.02,4,2,1.00,0,0,9,0
8843,2992,1.01,3,1,1.00,0,0,2,0
5174,1025,0.59,53,21,1.17,3,1,7,0
1323,487,1.10,10,4,1.00,2,0,2,1
8006,2710,1.02,5,2,1.00,0,0,4,0
2070,729,1.06,10,2,0.50,1,0,10,0
6103,2071,1.02,4,2,1.00,1,1,7,1
3830,1316,1.03,6,2,1.00,1,0,5,0
6524,1274,0.59,27,10,1.11,3,1,6,1
2762,944,1.02,13,5,1.00,2,0,6,1
1573,555,1.06,5,2,1.00,2,0,12,1
3157,1085,1.03,1,0,0.00,0,0,1,0
9077,3053,1.01,5,2,1.00,1,0,12,0
7409,2498,1.01,15,4,0.80,2,1,5,0
5342,1801,1.01,11,3,0.75,2,0,4,0
3335,1144,1.03,9,1,0.33,0,0,9,0
5431,1050,0.58,41,18,1.29,2,0,6,1
1695,320,0.57,24,18,2.25,1,1,3,0
1422,518,1.09,14,4,0.80,0,0,2,0
3740,1295,1.04,1,0,0.00,0,0,7,0
8185,1594,0.58,20,15,2.14,0,0,5,1
1282,454,1.06,8,2,0.67,0,0,6,0
2956,1034,1.05,0,0,0.00,0,0,9,0
7745,2601,1.01,14,5,1.00,2,0,9,1
2954,1027,1.04,5,2,1.00,1,0,12,0
6788,1314,0.58,29,17,1.70,3,1,6,1
2988,1026,1.03,9,3,1.00,0,0,5,0
2306,428,0.56,47,19,1.19,3,1,7,0
6360,2158,1.02,12,2,0.50,2,0,7,0
4227,1427,1.01,11,2,0.50,0,0,4,0
3420,1167,1.02,5,2,1.00,0,0,10,0
431,183,1.27,11,3,0.75,0,0,6,0
8404,2840,1.01,4,2,1.00,0,0,12,1
5105,982,0.58,30,15,1.50,3,1,6,1
3939,1363,1.04,15,3,0.60,2,0,1,0
8283,2777,1.01,11,4,1.00,0,0,1,0
9229,3120,1.01,8,2,0.67,2,0,4,0
6737,1302,0.58,59,20,1.00,0,0,6,1
9612,3224,1.01,1,0,0.00,1,0,5,0
7133,2425,1.02,8,2,0.67,1,0,5,0
5855,1129,0.58,26,17,1.89,0,0,6,0
8334,1640,0.59,57,20,1.05,0,0,6,0
9835,3326,1.01,2,0,0.00,1,0,7,0
6646,2263,1.02,6,2,1.00,2,1,9,0
1473,535,1.09,2,0,0.00,1,0,10,0
7681,2579,1.01,8,3,1.00,0,0,7,1
8753,1723,0.59,57,20,1.05,3,0,7,1
2104,717,1.02,7,1,0.33,0,0,10,0
7791,2624,1.01,3,1,1.00,0,0,7,0
4140,1399,1.01,12,3,0.75,0,0,7,1
8227,1632,0.59,27,16,1.78,0,0,7,1
9478,1857,0.59,39,15,1.15,0,0,7,1
3616,1254,1.04,5,2,1.00,1,0,11,0
6532,1297,0.60,22,15,1.88,0,0,5,0
3744,1277,1.02,6,2,1.00,2,0,9,0
872,138,0.47,33,14,1.27,2,0,7,1
398,172,1.29,0,0,0.00,2,0,12,0
1298,482,1.11,15,3,0.60,0,0,1,0
8531,2875,1.01,1,0,0.00,2,1,12,0
9983,3344,1.00,15,5,1.00,1,0,6,0
5573,1876,1.01,13,5,1.00,2,0,12,0
6383,2156,1.01,10,2,0.50,1,0,7,0
7500,2535,1.01,10,4,1.00,2,0,1,0
6422,1278,0.60,59,27,1.35,3,0,6,0
5684,1124,0.59,44,15,1.00,0,0,6,0
1165,197,0.51,36,14,1.17,2,1,7,1
6616,2234,1.01,1,0,0.00,0,0,6,0
5544,1876,1.02,9,2,0.67,0,0,3,0
9208,3102,1.01,11,4,1.00,0,0,11,0
8651,2895,1.00,6,2,1.00,1,0,8,0
5128,1734,1.01,5,2,1.00,1,0,5,0
4416,1519,1.03,14,3,0.60,0,0,8,0
4364,1476,1.01,11,3,0.75,0,0,10,0
8007,2679,1.00,8,1,0.33,2,0,5,0
6912,1344,0.58,49,25,1.47,2,0,7,1
748,142,0.57,28,17,1.70,1,1,6,1
548,195,1.07,15,3,0.60,0,0,4,1
767,271,1.06,1,0,0.00,1,0,1,0
388,159,1.22,11,3,0.75,1,0,5,0
9285,1822,0.59,16,14,2.33,1,1,9,0
7390,2486,1.01,10,4,1.00,0,0,6,0
7712,2614,1.02,4,2,1.00,0,0,4,0
7732,2598,1.01,7,1,0.33,0,0,10,0
4650,925,0.60,22,8,1.00,2,1,1,1
7362,2476,1.01,14,5,1.00,2,1,7,0
1985,702,1.06,15,4,0.80,0,0,2,1
1252,467,1.12,13,4,0.80,1,0,11,0
4594,1560,1.02,10,4,1.00,0,0,1,0
8360,2816,1.01,10,2,0.50,1,0,6,0
6537,2222,1.02,12,3,0.75,1,1,9,0
6864,2315,1.01,5,2,1.00,0,0,8,0
4101,1389,1.02,13,3,0.60,2,1,12,0
5212,1038,0.60,56,27,1.42,2,1,6,1
4258,1470,1.04,2,0,0.00,1,0,3,0
7273,2437,1.00,11,4,1.00,2,0,2,0
7946,2683,1.01,8,1,0.33,2,0,9,0
6753,1308,0.58,56,27,1.42,1,1,7,1
709,257,1.08,5,2,1.00,0,0,8,0
4684,908,0.58,32,19,1.73,0,0,7,1
1011,348,1.03,3,1,1.00,1,0,6,0
3797,1315,1.04,3,1,1.00,0,0,10,0
8416,2824,1.01,0,0,0.00,0,0,7,0
2927,542,0.56,39,21,1.62,1,0,7,0
5616,1104,0.59,59,24,1.20,1,1,6,1
8501,2862,1.01,14,5,1.00,0,0,8,1
4898,1679,1.03,9,3,1.00,2,0,6,0
2789,522,0.56,53,23,1.28,3,0,6,1
6824,1331,0.59,28,11,1.10,3,0,7,1
599,226,1.13,12,4,1.00,0,0,10,0
8750,2940,1.01,12,2,0.50,1,0,8,0
3956,1345,1.02,8,3,1.00,0,0,5,0
5332,1814,1.02,5,2,1.00,1,0,2,0
682,263,1.15,1,0,0.00,0,0,11,0
8930,3011,1.01,13,3,0.60,0,0,10,0
2165,760,1.05,11,2,0.50,0,0,3,0
2683,933,1.04,8,3,1.00,0,0,7,0
7881,1570,0.60,10,13,3.25,3,0,5,0
3589,677,0.57,12,9,2.25,2,0,1,1
3994,1346,1.01,5,2,1.00,0,0,5,0
3196,1093,1.03,8,3,1.00,1,0,4,0
911,337,1.11,6,2,1.00,0,0,2,0
7760,2631,1.02,5,2,1.00,1,0,9,0
4360,864,0.59,44,16,1.07,1,1,7,1
4797,1632,1.02,8,3,1.00,0,0,1,0
973,169,0.52,56,28,1.47,1,1,6,1
6818,2286,1.01,14,4,0.80,0,0,6,0
8081,2708,1.01,10,2,0.50,0,0,1,0
8110,2736,1.01,12,2,0.50,0,0,1,0
914,353,1.16,11,4,1.00,0,0,10,1
6266,2137,1.02,9,1,0.33,1,1,2,0
9883,1942,0.59,57,21,1.11,3,0,6,1
8520,2850,1.00,11,2,0.50,0,0,1,0
7438,2526,1.02,12,4,1.00,0,0,11,1
2252,417,0.56,38,15,1.15,0,0,6,0
9399,1874,0.60,50,23,1.35,1,0,6,1
9047,1787,0.59,30,17,1.70,3,1,6,1
5737,1934,1.01,9,2,0.67,0,0,6,0
3728,1256,1.01,15,5,1.00,2,1,10,0
2675,527,0.59,30,19,1.90,3,1,7,1
5917,1172,0.59,56,24,1.26,1,0,6,1
3498,669,0.57,46,25,1.56,2,1,7,0
6505,2189,1.01,12,4,1.00,0,0,1,0
8470,2858,1.01,0,0,0.00,0,0,5,1
6472,2200,1.02,15,5,1.00,0,0,7,0
5104,1714,1.01,15,4,0.80,2,0,8,0
9714,1919,0.59,12,7,1.75,2,0,8,1
3714,734,0.59,54,19,1.06,3,1,7,1
2801,978,1.05,1,0,0.00,0,0,3,0
3727,701,0.56,26,14,1.56,2,0,7,1
1981,687,1.04,13,5,1.00,0,0,8,0
5673,1902,1.01,8,3,1.00,0,0,11,0
9395,3152,1.01,8,3,1.00,0,0,4,1
4762,1598,1.01,3,1,1.00,0,0,11,0
4784,1629,1.02,0,0,0.00,0,0,10,0
2953,1021,1.04,9,3,1.00,0,0,7,0
7063,2379,1.01,14,4,0.80,2,0,5,0
504,212,1.26,7,3,1.00,2,0,7,0
7599,2544,1.00,4,2,1.00,1,0,12,0
9397,3159,1.01,6,2,1.00,0,0,10,1
6292,2133,1.02,0,0,0.00,2,0,1,0
5275,1787,1.02,1,0,0.00,0,0,4,0
874,307,1.05,5,2,1.00,1,0,11,0
1172,227,0.58,59,22,1.10,1,1,7,1
714,121,0.51,58,23,1.15,1,1,6,1
4675,1576,1.01,10,2,0.50,2,0,6,1
7468,2506,1.01,6,2,1.00,2,1,1,0
1020,372,1.09,7,3,1.00,1,0,1,1
9712,3265,1.01,14,3,0.60,0,0,10,0
7109,2408,1.02,15,3,0.60,0,0,6,0
3522,1205,1.03,3,1,1.00,2,0,9,0
1365,244,0.54,24,12,1.50,1,1,2,1
6263,1225,0.59,12,11,2.75,1,1,4,1
776,131,0.51,57,28,1.47,3,1,6,1
2736,926,1.02,1,0,0.00,2,0,3,0
2839,959,1.01,2,0,0.00,0,0,7,0
6286,2108,1.01,14,3,0.60,0,0,9,0
6763,2268,1.01,11,3,0.75,0,0,12,0
6957,2339,1.01,9,2,0.67,2,0,7,0
2041,694,1.02,12,3,0.75,0,0,1,1
2881,1002,1.04,11,4,1.00,0,0,9,0
6979,1384,0.59,57,20,1.05,2,1,7,1
5747,1954,1.02,10,3,0.75,1,0,9,0
1504,513,1.02,5,2,1.00,1,1,9,0
6788,2283,1.01,0,0,0.00,0,0,9,0
6218,1225,0.59,59,23,1.15,1,1,6,0
7042,1362,0.58,30,17,1.70,3,1,7,1
4511,875,0.58,38,13,1.00,3,1,6,1
6429,2169,1.01,13,4,0.80,2,0,9,0
4317,1481,1.03,4,2,1.00,0,0,10,0
3538,1219,1.03,0,0,0.00,2,1,11,0
4197,1411,1.01,9,2,0.67,0,0,6,0
9161,3095,1.01,9,3,1.00,2,1,5,0
7570,2553,1.01,0,0,0.00,1,0,2,1
4061,1397,1.03,11,4,1.00,0,0,6,0
1420,515,1.09,4,2,1.00,1,0,11,0
2996,1023,1.02,14,5,1.00,0,0,12,0
6929,2337,1.01,14,3,0.60,0,0,9,0
7862,1537,0.59,27,16,1.78,1,1,8,0
5309,1787,1.01,3,1,1.00,1,0,11,0
396,166,1.26,0,0,0.00,0,0,9,0
8685,2934,1.01,6,2,1.00,0,0,12,0
2941,1016,1.04,5,2,1.00,2,0,10,0
3793,719,0.57,50,26,1.53,3,1,7,1
4555,896,0.59,36,18,1.50,1,0,6,0
7971,2681,1.01,5,2,1.00,1,1,3,1
3646,1250,1.03,7,2,0.67,1,1,9,1
1523,521,1.03,14,4,0.80,1,0,6,0
6457,1283,0.60,35,18,1.50,2,1,6,1
6582,2234,1.02,7,2,0.67,0,0,8,0
341,133,1.17,6,2,1.00,0,0,2,0
664,254,1.14,12,2,0.50,0,0,12,0
6439,1250,0.58,29,19,1.90,1,0,6,0
7469,2501,1.00,1,0,0.00,0,0,2,0
9656,1887,0.59,36,19,1.58,3,0,7,1
5136,1736,1.01,10,2,0.50,2,1,11,0
9702,3273,1.01,2,0,0.00,1,0,3,0
8218,2764,1.01,11,2,0.50,0,0,3,0
3209,1104,1.03,15,3,0.60,0,0,9,1
2076,718,1.04,12,3,0.75,1,1,12,0
1493,261,0.52,40,16,1.14,2,0,6,1
5500,1865,1.02,8,1,0.33,1,0,1,0
8476,1654,0.59,59,21,1.05,0,0,6,1
2183,415,0.57,44,22,1.47,3,0,7,1
8327,2792,1.01,6,2,1.00,0,0,1,0
4250,1455,1.03,15,4,0.80,0,0,9,1
479,174,1.09,0,0,0.00,0,0,3,1
6728,2268,1.01,6,2,1.00,0,0,6,0
3610,1232,1.02,2,0,0.00,0,0,12,0
3883,1345,1.04,2,0,0.00,2,0,2,0
1897,666,1.05,5,2,1.00,0,0,8,1
1742,343,0.59,42,19,1.36,3,1,6,1
1686,588,1.05,9,2,0.67,0,0,2,0
1682,299,0.53,48,22,1.38,3,1,6,0
7299,2472,1.02,1,0,0.00,1,0,2,1
1575,575,1.10,15,5,1.00,0,0,8,0
9030,3023,1.00,2,0,0.00,2,0,6,0
3561,665,0.56,49,22,1.29,2,1,7,1
8257,2773,1.01,6,2,1.00,2,0,9,0
6533,1300,0.60,39,17,1.31,0,0,6,1
1261,438,1.04,4,2,1.00,2,0,11,1
2594,912,1.05,0,0,0.00,0,0,2,1
1756,627,1.07,1,0,0.00,1,0,7,0
6473,2208,1.02,1,0,0.00,0,0,11,1
634,261,1.23,12,4,1.00,0,0,6,0
7307,2483,1.02,8,2,0.67,0,0,7,0
733,264,1.08,3,1,1.00,0,0,5,1
5743,1928,1.01,0,0,0.00,0,0,3,0
8241,2797,1.02,0,0,0.00,0,0,9,0
6836,1344,0.59,40,20,1.43,3,0,7,1
675,268,1.19,8,3,1.00,0,0,2,0
6284,2129,1.02,7,3,1.00,2,0,2,0
3385,640,0.57,29,16,1.60,2,1,1,1
9964,3359,1.01,10,2,0.50,0,0,8,0
9836,1944,0.59,35,16,1.33,3,0,7,1
2933,998,1.02,0,0,0.00,2,0,7,0
435,158,1.09,14,3,0.60,2,0,7,0
7541,1494,0.59,51,27,1.59,1,1,7,1
5261,1792,1.02,15,3,0.60,0,0,6,0
1012,365,1.08,9,1,0.33,0,0,4,0
1579,305,0.58,27,11,1.22,3,1,10,1
4989,1711,1.03,4,2,1.00,0,0,2,0
1749,633,1.09,3,1,1.00,1,1,11,1
356,26,0.22,37,16,1.23,3,1,7,1
4982,1708,1.03,1,0,0.00,1,0,4,0
645,241,1.12,13,5,1.00,1,0,4,0
5259,1763,1.01,3,1,1.00,2,0,4,0
6645,2244,1.01,10,4,1.00,0,0,2,1
9432,3157,1.00,6,2,1.00,0,0,4,1
658,114,0.52,36,19,1.58,0,0,7,1
5891,1988,1.01,2,0,0.00,0,0,10,0
2689,929,1.04,5,2,1.00,0,0,10,0
5059,1713,1.02,8,3,1.00,0,0,10,0
2784,958,1.03,14,3,0.60,2,0,6,0
7836,1561,0.60,25,18,2.00,2,1,6,1
3738,739,0.59,53,19,1.06,2,1,7,1
6555,2208,1.01,3,1,1.00,0,0,11,0
3661,1235,1.01,12,3,0.75,0,0,11,0
2629,892,1.02,8,2,0.67,0,0,4,0
1515,543,1.08,11,4,1.00,1,1,6,0
1622,318,0.59,41,21,1.50,3,1,7,1
9663,3236,1.00,4,2,1.00,0,0,3,0
5069,1701,1.01,4,2,1.00,1,0,4,0
4709,1590,1.01,3,1,1.00,1,1,4,0
9184,3076,1.00,12,3,0.75,0,0,4,1
7936,2690,1.02,10,4,1.00,0,0,6,1
4422,847,0.57,26,13,1.44,0,0,7,1
7136,2419,1.02,1,0,0.00,1,0,1,0
5033,1703,1.01,3,1,1.00,0,0,11,0
1251,241,0.58,57,24,1.26,0,0,7,1
6668,2243,1.01,15,5,1.00,0,0,5,0
7924,2663,1.01,1,0,0.00,2,1,12,0
824,314,1.14,3,1,1.00,0,0,2,1
6736,1308,0.58,16,6,1.00,3,1,5,0
8447,2852,1.01,0,0,0.00,0,0,9,0
8061,1601,0.60,36,17,1.42,2,1,6,1
4213,1425,1.01,1,0,0.00,0,0,4,0
5962,2021,1.02,11,2,0.50,1,0,4,0
5781,1955,1.01,2,0,0.00,0,0,5,1
1469,514,1.05,1,0,0.00,1,0,1,1
8447,2865,1.02,13,5,1.00,1,0,7,0
8228,2753,1.00,15,4,0.80,1,0,10,0
726,289,1.19,15,4,0.80,0,0,7,0
4664,903,0.58,17,8,1.33,2,1,11,1
7021,2377,1.02,10,2,0.50,0,0,1,0
1151,395,1.03,4,2,1.00,1,1,4,0
2669,922,1.04,6,2,1.00,1,1,2,0
2130,738,1.04,8,3,1.00,2,1,8,0
3470,1183,1.02,0,0,0.00,0,0,12,0
8384,2824,1.01,3,1,1.00,2,1,1,0
1646,581,1.06,12,2,0.50,2,0,10,0
2892,566,0.59,25,16,1.78,3,0,7,0
2427,833,1.03,13,5,1.00,0,0,5,1
4376,1477,1.01,7,2,0.67,0,0,6,0
3744,1290,1.03,15,5,1.00,1,1,2,0
8853,2984,1.01,15,5,1.00,0,0,3,0
6293,2115,1.01,14,4,0.80,0,0,10,0
4993,1699,1.02,12,3,0.75,2,0,6,0
8513,2877,1.01,10,3,0.75,2,0,4,0
8509,2865,1.01,12,2,0.50,0,0,10,0
7010,2375,1.02,1,0,0.00,0,0,3,0
6458,2192,1.02,1,0,0.00,1,0,6,0
8171,2751,1.01,0,0,0.00,0,0,10,0
1986,676,1.02,5,2,1.00,0,0,2,0
8807,2980,1.01,8,2,0.67,1,0,9,0
1490,522,1.05,3,1,1.00,0,0,12,0
7446,2522,1.02,14,4,0.80,0,0,11,0
9197,3104,1.01,3,1,1.00,0,0,3,0
4947,1699,1.03,5,2,1.00,1,0,7,0
3750,1293,1.03,8,1,0.33,0,0,2,1
558,225,1.21,0,0,0.00,0,0,7,1
4108,1389,1.01,11,3,0.75,1,0,6,0
3225,1098,1.02,4,2,1.00,0,0,12,0
1796,620,1.04,7,1,0.33,0,0,7,0
5779,1122,0.58,11,7,1.75,3,1,3,1
3994,1359,1.02,2,0,0.00,0,0,2,0
8878,2980,1.01,1,0,0.00,2,0,12,0
8903,3012,1.01,15,4,0.80,0,0,12,0
3167,1096,1.04,11,4,1.00,1,0,4,0
525,209,1.19,4,2,1.00,1,0,12,0
2949,998,1.02,9,2,0.67,0,0,3,0
2041,710,1.04,14,5,1.00,1,0,6,0
3722,695,0.56,55,23,1.21,0,0,6,0
8234,2768,1.01,9,2,0.67,0,0,11,0
4472,1526,1.02,12,2,0.50,0,0,9,0
3779,1309,1.04,8,3,1.00,1,0,6,0
4997,1716,1.03,0,0,0.00,1,0,1,0
1812,614,1.02,11,3,0.75,2,0,10,0
577,226,1.17,13,5,1.00,0,0,10,0
6015,2035,1.01,7,2,0.67,0,0,9,0
1181,429,1.09,10,2,0.50,0,0,2,0
7594,1503,0.59,45,16,1.07,2,0,6,1
8855,2986,1.01,11,4,1.00,0,0,6,1
6466,2179,1.01,12,2,0.50,0,0,4,0
5500,1880,1.03,8,3,1.00,0,0,3,0
3249,601,0.55,11,11,2.75,2,1,8,1
9720,3250,1.00,2,0,0.00,1,0,6,0
2345,828,1.06,10,3,0.75,2,0,2,1
5582,1907,1.02,1,0,0.00,0,0,2,0
6946,1374,0.59,52,22,1.22,1,1,7,1
4807,1633,1.02,10,4,1.00,0,0,7,0
1442,491,1.02,6,2,1.00,0,0,5,0
8521,2862,1.01,13,4,0.80,2,0,3,0
7092,1392,0.59,18,14,2.33,3,1,5,1
9377,1840,0.59,36,17,1.42,2,1,7,1
807,149,0.55,41,22,1.57,1,1,6,1
3925,1328,1.01,4,2,1.00,0,0,5,0
1988,348,0.52,45,21,1.40,2,0,7,0
9090,3052,1.01,2,0,0.00,0,0,1,0
4117,1401,1.02,12,2,0.50,0,0,3,0
2767,523,0.57,25,17,1.89,1,1,12,0
